,Review_Date,Review_Title,Review_paragraph,User_Rating,website
0, 1 week ago ,Delicious eats,I really loved this restaurant. I visited twice as part of a Gadventures tour then went back one my own after my tour had finished.  The food on all three occasions was so delicious. I enjoyed the chicken lababdar and the tikka paneer. All of...More,5,/ShowUserReviews-g304551-d13388460-r745257745-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
1, 1 week ago ,Amazing place!,"This is an absolute hidden gem! The place is really well decorated, modern but simple. The food is outstanding, and service is great. The idea behind the restaurant is equally as impressive - to teach young adults the skills to go out into the hospitality...More",5,/ShowUserReviews-g304551-d13388460-r744340449-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
2, 3 weeks ago ,"Really good menu, tasty food","Really good menu, tasty food and great service. When staying in Karol Bagh make sure you stop here for a lovely meal.",5,/ShowUserReviews-g304551-d13388460-r741464580-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
3, 4 weeks ago ,Great choice of dishes in lovely environment ,Excellent menu with both vegetarian and meat choices. Pleasant environment and good service. All meals were tasty with good portion sizes. Would highly recommend supporting this worthwhile enterprise.More,5,/ShowUserReviews-g304551-d13388460-r740572591-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
4, 4 weeks ago ,Great food and service,Enjoyed 2 meals here during my stay in New Delhi. Menu has great variety of food and drinks. Very clean. Great service.,5,/ShowUserReviews-g304551-d13388460-r740377249-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
5, 4 weeks ago ,Food was excellent!,Food was excellent we dined here more than once over our time in India and the food and service where both excellent! Would highly recommend!,5,/ShowUserReviews-g304551-d13388460-r739974235-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
6, 16 January 2020 ,Delecious food ..,"We started with drinks from their large selection of smoothies, shakes, lassi and juices, all freshly prepared and artfully presented. Our food choices were made from a good selection of traditional Indian vegetarian and non-vegetarian dishes as well as salads, Chinese and Continental dishes. The...More",5,/ShowUserReviews-g304551-d13388460-r739436153-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
7, 14 January 2020 ,A little gem,"We called in for a drink and returned for an evening meal as we liked the atmosphere and the look of the menu. In fact we liked it so much we returned each evening of our 4 night stay in Delhi. Good is straightforward, meat...More",5,/ShowUserReviews-g304551-d13388460-r739138253-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
8, 14 January 2020 ,Well worth a visit,"Just landed from a trip to Varanasi and thought I'd try this place near my hotel that is highly rated. Ordered a tandoori platter of fish and lamb. Totally superb. International drinks reasonably priced too, compared to Taj hotels at least. Around Â£2 for JW...More",5,/ShowUserReviews-g304551-d13388460-r739111120-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
9, 13 January 2020 ,Excellant restaurant with charitable intentions,"A charming & relaxed restaurant with good food which is well priced. The service was excellent, I ate here both as part of a group and as a solo twice. Felt perfectly relaxed and looked after every time. Lovely food and cocktails if so desired....More",5,/ShowUserReviews-g304551-d13388460-r738902266-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html
